paper_id,keyword,field_id
7520DDB2,front end,0328F5C8
7520DDB2,interactive visualization,03D1AD88
75490915,mobile network,09287742
7572E312,evaluation,010D85B2
7580990F,vector space model,05588093
7593C2CD,resource management,009503E5
75A08512,neural network,0304C748
75A6D5C4,search engine,05D52366
75B7C4B8,web security,01516333
76129904,views,033BA1DC
761A5E44,p2p,1FE26BE6
763075E6,regression model,091CB999
76345ABB,static analysis,05D293B4
76388A76,search engines,05D52366
765902AC,world wide web,0826DA74
7669251E,latency,05E65163
767711CA,data mining,0765A2E4
768AD80F,value added,04C9A326
768AD80F,weight distribution,0184123F
768C77D3,similarity search,06F54AFB
76B47187,load balance,084E025B
76B49D32,indexation,0B1AE4E8
76BE2FD7,latent variable model,03EE8C18
76D27CA4,relational database,00564A32
76E15AEC,data analysis,0A7A83FE
76FACFE0,business model,0040583A
77071012,text mining,044294F0
772CA07F,constructivist learning,01817383
77347A16,machine learning classification,068FBD53
773D4A89,ontologies,09F001E0
774BE21C,materialized views,05DA6797
7777447A,question answering,02A3D790
77839359,data warehouse,0814ADB4
7786D198,structured data,0090990D
77945BC9,physical design,0B41218A
77983E26,data mining,0765A2E4
77FCE1C2,metadata,0592FC03
782EEBCF,text mining,044294F0
785D49CE,overlay networks,0A1FBB61
7873FBCF,open content,1F54C964
78951F6B,social interaction,07C09FE0
7895F55D,world wide web,0826DA74
7899666B,viral marketing,0B258617
789F8BDD,design,025FEB36
78CC1B6A,mobile computing,089D907D
78CDBB9D,python,1EFE70C0
78CF1C35,hypertext transfer protocol,08EBD347
78D67307,web mapping,0179688C
78FB8555,design patterns,08B49EF3
790E391D,ontologies,09F001E0
79103582,xml document,00863DF2
791D90F7,knowledge engineering,050C3316
7941CA8C,personal information management,0B9AD12E
7942DAED,modularity,05FFC6C1
79536B8E,web accessibility,0B9A6D27
7975DC92,communication channels,095B930C
797FA5C9,web service,021EE282
7987EDEC,xml,00863DF2
79F65EFB,collaboration,215A1CAF
7A15BAA6,web service,021EE282
7A1F8EB3,cellular network,09287742
7A2486FA,cross site scripting,025BC721
7A327038,user experience,0BFB67B9
7A48128D,semantic web,00207EA7
7A521ED2,earth observation,02592ED3
7A521ED2,social media,1EEA6379
7A72CD7B,xml document,00863DF2
7A73776C,web pages,014F152B
7A9150FD,disaster management,03BA874C
7AB03E73,satisfiability,0A0F4889
7AC7C074,transference,042BAA5E
7AFDC61D,vector space model,05588093
7B013091,dynamic content,05F84B34
7B074896,private information,05E9FFC4
7B76A726,ranking,0BCC2418
7B95CFCB,trust,015B4C09
7BD92F3D,access control,1F75EC2F
7BFF52DD,error rate,02712487
7C0297F3,context model,0AED4905
7C12C632,geographic information systems,027EAE5F
7C12C632,query language,0B721F10
7C205C68,ontologies,09F001E0
7C3C575E,web services,021EE282
7C62520A,e commerce,04AF4EC1
7C69098F,web service,021EE282
7C6DCB47,web pages,014F152B
7C948814,semantic web,00207EA7
7CAD1158,world wide web,0826DA74
7CAE6170,geolocation,01505476
7CBB15CC,question answering,02A3D790
7CDDBA5B,distributed systems,072BDC64
7CDE2283,cache coherence,08757C8A
7CE10FC4,search engine,05D52366
7CE9E125,location based services,094191A6
7CEB1BD0,distributed system,072BDC64
7CF4CBE5,empirical study,073559FB
7CF657ED,social system,0AAD5A57
7D0986BC,data mining,0765A2E4
7D0C83CE,web engineering,05CB279C
7D134A28,modules,054623FC
7D261C9E,tries,0B579BFA
7D2C9116,javascript,20797F36
7D347466,classification,02E72525
7D35D2CF,scalable vector graphics,0C13E0F2
7D4A6DBC,algorithms,00AE2819
7D4C9844,search engine,05D52366
7D4CDF23,web pages,014F152B
7D4D4D75,personalization,0AE867C7
7D563261,web pages,014F152B
7D58B735,web,0826DA74
7D5A3338,profitability,07B5E46C
7D5B46AE,privacy,04A33560
7D664546,ease of use,0A23FD55
7D6BA50B,prediction model,02BAEDB1
7D6BD0C6,information retrieval,0160D514
7D6E8AF1,empirical evidence,09E5C341
7D7ECABA,community structure,07EEA35C
7D82A957,automata,06B4B1A2
7D8ABF0F,end users,05708D34
7D9007CC,web design,1F128082
7D958678,data storage,0B9B7E5E
7D986A50,critical infrastructure,01C78210
7D991366,human factors,09F03076
7D9B39E4,web pages,014F152B
7D9F4E47,knowledge representation,099D42EF
7D9F4E47,traditional chinese medicine,0B431C7A
7DA63EC1,paid search advertising,0B2FE11F
7DAFC769,business model,0040583A
7DB8D249,inter process communication,0C2B2C91
7DBFEFDD,css,058E5378
7DBFEFDD,cts,0A011C69
7DC473B3,collaborative filtering,0149209A
7DCCEDB4,network server,059A455C
7DD17B61,music,1FF106C8
7DD35447,service oriented architectures,03666318
7DD8D8BE,web pages,014F152B
7DF56876,knowledge base,00457FEE
7E04E942,crawling,05FB8228
7E13261B,dynamic content,05F84B34
7E178142,user experience,0BFB67B9
7E19B60D,web browsing,03A4415E
7E1F2FDC,web of things,05AEE99C
7E200F53,application server,09CEE641
7E200F53,software component,0A697672
7E209CEF,information extraction,0BABCAD2
7E20EA9C,ranking,0BCC2418
7E27E6FE,string matching,00765DB6
7E280B44,algorithms,00AE2819
7E280B44,web search engine,1F1A457A
7E320F0A,web mining,0BBEAF3D
7E38717C,sustainability,03F2345C
7E3C8155,real time,04BB9B33
7E42CAE3,noun,07449362
7E43B52B,maximum entropy principle,0093B0A8
7E43B52B,recommender system,213A570A
7E4CC58B,web navigation,03A4415E
7E4D6A8D,loss function,0650B2E2
7E5D0F49,query language,0B721F10
7E7784CA,social network,05242AA7
7E7C06CF,fault tolerant,03C98E70
7E8D22AA,semantic web,00207EA7
7E9369DA,online algorithm,0BBCC83D
7E9D905F,camera phone,08D16E11
7E9E237C,social network,05242AA7
7EA874F8,information bottleneck,0393A9B8
7EAB439B,incentive compatibility,0578EC8B
7EAB439B,private information,05E9FFC4
7EAB68F4,machine translation,0C199D1F
7EB9E583,random graph,02D42817
7EBA0FBC,semantic interpretation,0B82DCC5
7EC160A4,web service,021EE282
7ECDCB95,centroid,08BCED42
7ED1A02C,power law,053022ED
7ED2D6B3,application server,09CEE641
7ED2D6B3,web applications,07125B99
7ED2D6B3,web based applications,07125B99
7EE7A60E,distributed system,072BDC64
7EE8ED2D,information visualization,0B0FB55B
7EEF0FB7,javascript,20797F36
7EF0A2AB,benchmark,0B130EF1
7EF7CD36,semantic web,00207EA7
7EFB6827,nearest neighbor search,06F54AFB
7F060508,social media,1EEA6379
7F06D120,p2p,1FE26BE6
7F21B9AF,design,025FEB36
7F31D50A,collective intelligence,054EE7BB
7F38895B,tight coupling,032260AF
7F38895B,web service,021EE282
7F38B495,international relations,020C386F
7F48DB32,data collection,07F47865
7F57C969,search engine,05D52366
7F6A57A0,gaussian process regression,04DE87EE
7F7854EA,aggregation,078FD6D4
7F811D3F,environmental sciences,0259B070
7F81BE19,system dynamics,049D1DB7
7F81C5FF,anonymity,0A9C2677
7F859C1F,ontology,0189D6E8
7F92170B,semantic similarity,07C47F14
7FCB61F9,benchmarking,0524192A
7FDADC33,semantic similarity,07C47F14
7FE1ABEA,design,025FEB36
7FE43ABA,business processes,05164482
7FF53F2F,new media,05EF6388
7FFC3A0C,algorithm,00AE2819
800AFFC9,full text search,0134AB22
80109F28,constraint optimization,03514EEE
801EA133,algorithms,00AE2819
8023A997,formal semantics,050D9AB2
80266D35,search engine,05D52366
8031AE50,semantic web,00207EA7
8039B68D,dom,08388832
804A6E88,probabilistic latent semantic analysis,06BB39F1
804C5592,cluster analysis,04625E4E
804D894E,fingerprints,0BF7EDEF
80583F78,actions,07911B5D
80586697,web pages,014F152B
8065B2D3,corpus,0025C192
8065B2D3,information extraction,0BABCAD2
80732C71,e commerce,04AF4EC1
80918D4A,high frequency,02F1355C
80A554D7,data flow,00077628
80ADA215,web pages,014F152B
80B1C3C4,question answering,02A3D790
80BD0C48,description logic,06238D44
80BD93DF,search engine,05D52366
80BEBF6F,web pages,014F152B
80C1FA85,data structure,09ACCB7D
80C50E5B,web service,021EE282
80CB2EEB,summarization,0A2F183E
80CE7BD7,real time,04BB9B33
80E369C2,crowdsourcing,03B58E50
80EACC89,android,2139C10A
80FC4CB0,information management,07A891FA
81018A8A,axiomatic approach,077F264C
8101D82B,user experience,0BFB67B9
81056140,directed graph,08B9956E
810A4F97,language model,082EEFC0
810DEAAA,semantic web,00207EA7
81163D40,web pages,014F152B
811A65F9,social networks,05242AA7
811CFA1C,semantic similarity,07C47F14
81373003,soa,03666318
813B94C8,web pages,014F152B
813FE0C9,information retrieval,0160D514
814EC843,data model,0090990D
814F638D,information retrieval,0160D514
815D1F93,information overload,0B1FAC1D
8161F173,xml,00863DF2
816265AF,real time,04BB9B33
81712568,difference set,0B37C612
81751AAC,complex networks,0215411F
851763C6,access control,1F75EC2F
8552C1A2,javascript,20797F36
85AF2730,computer graphics,04A101EC
863A49F1,linked data,041E01D9
863B8D13,semantic technologies,0068FFAA
000BD259,distributed systems,072BDC64
00A4D9F6,scalability,02DD1A22
016B9441,fitness function,0A7E8F46
02109148,internet of things,04E11757
024C2138,system analysis,06B6D7FC
046ACDDC,text clustering,0A9B1C9E
04E7652C,data management,00197524
057B5045,coping strategies,045E31D8
06114FE9,knowledge based system,06E8E0BF
065ACA26,knowledge representation,099D42EF
0690E4CB,search engine,05D52366
078D3B88,learning to rank,0520D581
07F038DD,client server architecture,091CC633
07F5A5BF,xml document,00863DF2
0906D77C,mobile device,0B24E4DD
0924F488,text analytics,044294F0
099950AB,data management,00197524
09AE7CF2,situation awareness,08B0CE95
09D18A31,search engine,05D52366
09EA8ED1,power law,053022ED
0A69822A,online education,00FAE71A
0B9DE59E,social networks,05242AA7
0BDEE2D6,web,0826DA74
1473EA19,indus,00961884
40D47914,image classification,047CE770
41409ACE,experimental design,020F5460
4236E063,conversion rate,0308F93E
585B3FAB,feature vector,04FCA2EE
590071BB,world wide web,0826DA74
5A2A379D,biological network,01AEADFB
5AB2C3CE,machine learning,0724DFBA
5B8BD6EE,e commerce,04AF4EC1
5B984A6F,shared memory,07FAC90E
5BA02AB8,semantic web,00207EA7
5C989100,multimedia,02F77E4A
5CF691A9,natural language processing,0C2DB2A7
5CF8F1F4,spatial information,09839C23
5D3BF68E,information retrieval,0160D514
5E29E948,web pages,014F152B
5FB3D1BF,web mining,0BBEAF3D
66524E9D,semantic web,00207EA7
6A02CD75,self reference,042BBEFC
6A4E589D,support vector machines,00BB2E8D
702B1430,linked data,041E01D9
721E0AC2,social influence,07D15138
730E6256,classification,02E72525
73A5C1E6,question answering,02A3D790
73F01761,gesture,0C5BE09E
749E1E87,malware,20492695
74A4B3C1,system dynamics,049D1DB7
751D8756,social networks,05242AA7
751E24C9,public key infrastructure,04548824
75409E8A,deep web,02C8E962
754763FE,ddos,025060B4
754FACA2,critical point,089C4E54
7556670D,user interface,0555BE69
757DFD67,social network,05242AA7
75836C06,social web,1E0943DD
7590B035,web services,021EE282
75BBEFAC,social network,05242AA7
75C47754,categorization,059C39ED
75C7DC7A,rfid,0C2C3181
75D81629,web of data,00207EA7
76195D88,relational database,00564A32
762389BB,link analysis,0011E854
7623F342,owl,0608A6F7
76256797,user generated content,06099CD9
76297DB0,cultural heritage,039DC659
762B93B5,question answering,02A3D790
763075E6,linear regression,02EA7A25
76388A76,markov processes,0987AB44
763A19A0,ontology mapping,069C3FBD
7669251E,mobile,03A20FF2
767E8547,shapley value,0BDCD949
76932184,satisfiability,0A0F4889
76932184,search engine,05D52366
769863B6,client server,091CC633
76A1924A,user modeling,04093723
76E8C786,world wide web,0826DA74
76EB44BE,web pages,014F152B
77322B66,model specification,06FCACE0
77343064,model checking,06924F71
77389AED,web pages,014F152B
774492C8,document clustering,0A9B1C9E
77651F9C,sql injection,08F7B39A
7768E32D,matrix computation,09C3EC5D
7780AD52,packet loss,0339A25E
7780C146,asynchronous communication,0904F595
779EC91D,web crawling,00D1B74C
77AC8EDC,games,1E2C5488
77B09DD0,bottom up,08181D6E
77B9B131,latent dirichlet allocation,1DDADD38
77C1388D,data model,0090990D
77CEA33E,web usage mining,0BBEAF3D
77E6A4FB,constraint propagation,082C111E
77FBE065,url,01A7430C
78458772,android os,2139C10A
78563C49,prediction algorithms,079208FE
786B8838,evaluation,010D85B2
7892E6A7,semantic web,00207EA7
78A0374E,distributed objects,04D6E5C4
78C0D70B,query language,0B721F10
78E4B31F,information extraction,0BABCAD2
78ED5B1F,social network,05242AA7
78F2101E,system architecture,05D7BF9C
78F7C56F,rdf,08CAA204
78F9D0F8,quality of service,004E1EE9
790E811F,cryptographic hash function,007416C2
79103582,sax,008329B8
791AA17F,markov chain,05E30395
792CB7DA,classification,02E72525
792CB7DA,world wide web,0826DA74
792EAB9C,polynomial time,0004C188
794A36EA,metrics,0BAB60C5
794D4255,handheld devices,0B24E4DD
797DA6FF,architecture,075EDF0C
7995C3BA,model checking,06924F71
79965247,android,2139C10A
79988F59,world wide web,0826DA74
79991683,information retrieval,0160D514
799F5C48,mobile communication,05B1168F
79BABCCB,recommender system,213A570A
79EE2C1D,management,0B30A009
7A2486FA,buffer overflow,026F3450
7A2486FA,filter,075A7D07
7A2E9A47,rdf,08CAA204
7A69D30A,indexation,0B1AE4E8
7A7A5444,information extraction,0BABCAD2
7A8238E5,question answering,02A3D790
7A843168,semantic web,00207EA7
7A9871FA,world wide web,0826DA74
7AA90CC7,quality of service,004E1EE9
7AB09F5B,personalization,0AE867C7
7AC44E87,hypertext,09AB37EA
7AC7C074,usability,0A23FD55
7ADA1149,filtering,06537024
7ADA1149,quality assurance,06581617
7ADD8F1E,query language,0B721F10
7AE5F1F3,xml,00863DF2
7B25D3CF,decoupling,0585FFD9
7B31C623,mobile computing,089D907D
7B37451B,social media,1EEA6379
7B497874,social context,06944054
7B497874,world wide web,0826DA74
7B6C0654,social network,05242AA7
7B76A726,online advertising,1E89AAC1
7B8FCD44,social network,05242AA7
7BA4BCB5,semantic web,00207EA7
7BBD89A5,dynamics,08B273F7
7BBD89A5,network analysis,01F6B79D
7BD06909,speech synthesis,00E4DDF6
7BF43DC1,theory,0C2517C0
7BF70466,semantic web,00207EA7
7C21A6D1,user interfaces,0555BE69
7C221797,decision support,0665AEB3
7C3226D1,economics,09ACE10E
7C57953C,personalization,0AE867C7
7C69098F,error handling,08AB10BD
7C86A927,random walk,073947DC
7C8EA658,social network,05242AA7
7C948814,multimedia,02F77E4A
7CA05884,cpc,089AA388
7CBEDC66,e commerce,04AF4EC1
7CBEDC66,electronic commerce,04AF4EC1
7CC73D64,degree sequence,0C44AAEE
7CDEF916,separation of concerns,048AEF7D
7D008035,web pages,014F152B
7D0604E0,scalability,02DD1A22
7D061AF5,ontology,0189D6E8
7D11EA41,statistical significance,03E6129D
7D12FF9C,finite state machine,0A00C4B8
7D21E94F,probabilistic algorithm,07AB559A
7D23C265,meta search engine,0A5EB94C
7D24CE9C,ecommerce,04AF4EC1
7D2900FF,multicore processors,04B1E07C
7D31F6FE,design,025FEB36
7D3ACDAE,web pages,014F152B
7D3D7B7E,semantic integration,069C3FBD
7D4EF9AA,user model,04093723
7D58B735,information extraction,0BABCAD2
7D806A28,web content mining,0BBEAF3D
7D91A322,web pages,014F152B
7D992E33,social network,05242AA7
7D9D9951,soa service oriented architecture,03666318
7D9F7EC8,scripting language,03A93E16
7DA69D02,web accessibility,0B9A6D27
7DAAB8FE,data integration,04545194
7DB65600,software engineering,06E88D7C
7DD8D8BE,event,0051E359
7DD8D8BE,search engine,05D52366
7DD91B1A,frameworks,048F9371
7DD91B1A,patterns,0370CB54
7DDF3E33,wikipedia,00258A22
7DFC3127,information retrieval,0160D514
7E02C6E4,xml,00863DF2
7E062FEE,design process,02E06C1C
7E062FEE,semantic web,00207EA7
7E10B296,algorithms,00AE2819
7E1277A1,profitability,07B5E46C
7E178142,web 2 0,0825DD0F
7E1F6084,polling system,05326C37
7E386FD0,web services,021EE282
7E3AEB90,web services,021EE282
7E418A0A,web pages,014F152B
7E45907B,web interface,0555BE69
7E4A8532,semi structured data,02638A73
7E4BB1DC,anchor text,00CD0524
7E5D9936,pattern recognition,0AAB07DF
7E6597D6,expectation maximization,0ADA588F
7E6AC59B,search spam,00CEFE71
7E6AF667,social media,1EEA6379
7E7378D2,programming model,0209549D
7E7A5A3D,trust,015B4C09
7E7EACD6,web accessibility,0B9A6D27
7E85C2FC,semi structured data,02638A73
7E88074B,ontologies,09F001E0
7E9D905F,rfid,0C2C3181
7EA424BD,load balance,084E025B
7EABBF30,service oriented computing,03666318
7EABF875,recommender systems,213A570A
7ECAE3AE,collaboration,215A1CAF
7ECC027C,internet,069BD3D4
7ED14FB4,distributed systems,072BDC64
7ED20521,mobility,089D907D
7ED533F4,web crawler,00D1B74C
7ED5B9F0,crowdsourcing,03B58E50
7EE163E7,ontologies,09F001E0
7EE51354,sample size,07BD55E3
7EE66F6E,search engine,05D52366
7EF92377,expressive power,0BABF586
7EFB6827,image classification,047CE770
7EFC81A8,performance,03D62B2D
7EFC81A8,software quality,07001BBC
7EFE8A7C,web pages,014F152B
7F03C4EF,quantitative analysis,05B8A3F3
7F088D72,indexation,0B1AE4E8
7F185125,unsupervised learning,007AAA53
7F372561,algorithm design,065950AA
7F37FDCA,timeline,0043BB4B
7F3C0B60,news,1F5C7FFD
7F3DB5D1,classification,02E72525
7F407822,clustering,04625E4E
7F4AE57A,web service,021EE282
7F635511,probabilistic model,06CFE9B5
7F64D23E,minimum description length,05369D20
7F674047,web applications,07125B99
7F6EC6A2,granger causality test,07BCF83A
7F7FBCE1,blocking,08A0A31C
7F80CF44,spam,095F300A
7F8B7C06,social web,1E0943DD
7F8DDFCE,semantic web,00207EA7
7F9071A0,relation extraction,0927D268
7F932700,random walks,073947DC
7F938FA7,rdf,08CAA204
7FA7317E,wireless application protocol,03218FED
7FB80B96,web service,021EE282
7FBAD6F3,data mining,0765A2E4
7FBAD6F3,social web,1E0943DD
7FBE60E6,engineering design,0215A43F
7FC084B5,controlled vocabulary,0697DA70
7FC19A89,machine learning,0724DFBA
7FCFB2BC,hidden markov model,0162605E
7FD4E2CC,semantic web,00207EA7
7FDED940,structure,056A8B8B
7FE93830,web crawler,00D1B74C
7FEAA06A,proof of concept,077305FA
7FF4AB90,public domain,1E8E7C5A
7FF62277,fault tolerant,03C98E70
800372A0,web pages,014F152B
800A8E29,navigation,0ACE8619
8010920D,mean average precision,0160D514
8011798C,programming model,0209549D
8017A779,rdf,08CAA204
80266D35,linear,049985AF
80268F8B,power law distribution,0B58DDBC
80268F8B,scale free network,0186555E
802D3B6E,top down,08181D6E
803B1E2B,web pages,014F152B
803B744A,requirement engineering,0064C533
8043020F,query classification,07130E14
8046E974,deep web,02C8E962
804C5592,algorithm,00AE2819
80554C99,personalization,0AE867C7
805A20DF,web pages,014F152B
8078FEF6,text summarization,0A2F183E
80891F52,cyber physical systems,0AB70C9E
80912965,search engine,05D52366
80994AF3,xml,00863DF2
809AFBA5,web pages,014F152B
80A4504F,developing world,04FFAAB8
80CE5DB4,software engineering,06E88D7C
80CF2613,web search engine,1F1A457A
80DCC39B,power laws,053022ED
80DCC39B,systems,072B7DFF
80DEE2CE,hashing trick,07F79C10
80E369C2,web applications,07125B99
80E51D58,semantic web,00207EA7
80EB6FE1,clustering,04625E4E
80F52902,data integration,04545194
80F5DA3F,networks,01DCF91B
8101904B,data analysis,0A7A83FE
81019D65,pricing,1DF78AE6
810FD742,semantic similarity,07C47F14
81189A12,rule based system,08E5B3D7
81189A12,world wide web,0826DA74
811A65F9,sms,0471AAB1
811EB74A,media bias,20160DA5
812570E4,social network,05242AA7
81406058,semi supervised learning,0383DEC0
8148335D,www,0826DA74
814FE84F,ontologies,09F001E0
81525785,bundle adjustment,0AB25147
81527B28,web pages,014F152B
81545F23,social,07AA884B
815EBC17,message passing,000D0A83
81625E63,web search engine,1F1A457A
816471E5,semantic web,00207EA7
8167FA8C,optimization,07868074
81715687,low latency,0A10362B
81751AAC,statistical relational learning,0A9A31BF
830CFDAF,system usability scale,084C6B70
8463EAB9,time series analysis,09064767
853D5134,news,1F5C7FFD
8632FA10,data integration,04545194
863D0219,affordances,0B9F6432
0109747C,search engine,05D52366
022B039B,reciprocation,00EBFF36
02DE5822,data model,0090990D
03C9705E,information visualization,0B0FB55B
04170E0F,library and information science,099B97B7
0435337F,data parallelism,03AA2993
0437A6A9,social influence,07D15138
057DE6C1,xml document,00863DF2
059EEAB1,visualization,022C6839
05A68AA3,ai,093C4716
071904DB,semantic network,051735CF
075625CA,image recognition,01E7DD16
0A25D914,visualization,022C6839
0BD45B2C,service provider,0001C739
0BDEE2D6,hydra,0212BAB9
3E9B85BA,social media,1EEA6379
3EC5193B,online advertising,1E89AAC1
3FE98EFC,microblogging,088A357C
420769E2,semantic web,00207EA7
48A568B6,ontology,0189D6E8
584AE1D1,web service,021EE282
584B49DE,real time,04BB9B33
585F3F61,web navigation,03A4415E
592149AB,social media,1EEA6379
59578A99,world wide web,0826DA74
596E86F7,information retrieval,0160D514
5AB2BCC0,cascading style sheets,058E5378
5AB2C3CE,online advertising,1E89AAC1
5B34B6D4,electricity market,08BEF7CE
5C88D489,digital libraries,1EA11BEA
5CD62031,knowledge management,0361C4E6
5DA675F1,hidden markov model,0162605E
5F9EC54B,web service,021EE282
603131BB,web crawler,00D1B74C
6CB3E3E7,ontologies,09F001E0
72BE39F2,news analysis,062D8D95
73742E7B,web mining,0BBEAF3D
73BF7DA2,human computer interaction,0667AC6E
74008149,causal inference,09740CD5
7506AD4D,anomaly detection,000B4A2A
7523A38D,data mining,0765A2E4
75255DA3,grammar,018D1115
752727B0,dynamic content,05F84B34
75276FD0,social communication,02C2ABE6
759B2D5B,probabilistic model,06CFE9B5
75B7AD6F,workflow management system,0864D039
7623F342,sensors,00570414
76256797,social network,05242AA7
763075E6,ctr,06DD6CCF
76345ABB,type system,013C78BD
763A19A0,semantic web,00207EA7
765CD62A,xml,00863DF2
767711CA,web search engine,1F1A457A
76877887,design,025FEB36
76889C49,network formation,0413F3F3
768C9D6F,web pages,014F152B
76974C30,search engine,05D52366
76B7B44D,personalization,0AE867C7
76BE2A15,social network,05242AA7
76BE2FD7,recommender system,213A570A
76C4F76C,xml schema,0856B19F
76F459BD,chronology,0AD2061D
7705CA8E,media management,201872C3
770D78AF,mobile device,0B24E4DD
77173FC6,usability testing,0A23FD55
77205579,visual search,097271B3
77322B66,personalization,0AE867C7
773B83DB,latent dirichlet allocation,1DDADD38
7777447A,information retrieval,0160D514
777DBE10,adaptive behavior,04199174
77839359,missing data,008EC9A5
77C43139,information retrieval,0160D514
77C9C94D,social communication,02C2ABE6
77CA1157,reuse,0C504925
77E88A10,wikipedia,00258A22
77F7C5AB,structural similarity,08507059
77F96DED,mobile device,0B24E4DD
77FCE1C2,personalisation,0AE867C7
78083C9C,response time,01221D05
780AF8E1,search engine,05D52366
7828B2B3,object model,013ED309
786D1A7E,prediction,079208FE
78A02507,design methodology,0846B9DE
78A0374E,legacy system,0648FA86
78CC00C2,knowledge representation,099D42EF
78CDBB9D,evaluations,010D85B2
78DD7A9F,naive bayes,03197C4D
78DF5200,synchronous communication,0904F595
790E391D,semantic web,00207EA7
79169B8D,ubiquitous computing,0A438068
7939FA5A,data integration,04545194
7969CE5C,search space,02A9FECC
79785474,use case,0259925A
7987EDEC,web pages,014F152B
799990C8,loss function,0650B2E2
79A9FF38,digital library,1EA11BEA
79B92D12,modularity,05FFC6C1
79C1DDD5,search engine,05D52366
79C5820D,rss,00246699
79C5820D,xml document,00863DF2
79D68E4B,rdf,08CAA204
79E570AF,social interaction,07C09FE0
79F384D7,web pages,014F152B
79F576DC,core,09290246
7A21FF78,semi structured data,02638A73
7A2A9B2A,wai,0BCCD63C
7A45C911,experimental analysis,0BED3A43
7A55A04A,tight coupling,032260AF
7A6F5F82,information content,0B4EE5A2
7A710D64,web search engine,1F1A457A
7A72CD7B,schema,0A357818
7A7DAEF9,spanning tree,03D59CFF
7A843168,document processing,040C267A
7AA98E11,recommender system,213A570A
7ABAE5B4,online advertising,1E89AAC1
7AC88089,scientific computing,0007022E
7ADD8F1E,xml,00863DF2
7AE5F1F3,data processing,084656E4
7B13B850,network flow,06D7DAA7
7B220F25,mobile device,0B24E4DD
7B27682D,web based applications,07125B99
7B2E0CAB,infrastructure as a service,04C451DB
7B3A99DF,invisible web,02C8E962
7B5D91C0,clustering,04625E4E
7B622784,evaluation,010D85B2
7B622784,wireless application protocol,03218FED
7B6C6551,qa,06581617
7BA2F6B8,web service,021EE282
7BD92F3D,social network,05242AA7
7BEE5205,rdf,08CAA204
7BF3CF80,java applet,00ECE0C7
7BFB80AD,corba,02F072A6
7C18A227,web interface,0555BE69
7C4EEB33,association rule mining,0B88F451
7C59CDF3,approximation algorithms,08DDF80C
7C8D3CFA,linked data,041E01D9
7CA38ECC,management studies,0B30A009
7CBB15CC,web pages,014F152B
7CC74DBC,html,08448679
7CDDF0BE,social psychology,04A33643
7CF70654,social computing,046C7280
7D061AF5,information integration,01FC846D
7D11EA41,random walk,073947DC
7D11EA41,search engine,05D52366
7D1EF9A9,social structure,0AA9BA83
7D40C489,opinions,0761F4EF
7D5A3338,supervised learning,082123F9
7D5ECCCF,algorithm design,065950AA
7D6980C9,web services,021EE282
7D6E6640,data collection,07F47865
7D745A19,machine learning,0724DFBA
7D83D941,semantic markup,036A4DB0
7D880298,wireless network,06708471
7D8DF2DD,local search,0810D58B
7D8EF01D,css,058E5378
7D965AC4,user model,04093723
7DA63EC1,search engine,05D52366
7DA6B6F0,social network,05242AA7
7DBC4276,initial condition,019B5021
7DBEAE15,statistical significance,03E6129D
